test_id,framework,scenario_type,expected_verdict,actual_verdict,match,model_used,confidence,severity,reasoning_excerpt,timestamp
GDPR_ART22_V001,GDPR,violation,VIOLATION,VIOLATION,TRUE,sonnet,0.90,CRITICAL,"Article 22 requires meaningful human intervention OR an appeal mechanism for automated decisions. While 'review' exists, only 2% are actually reviewed (insufficient human oversight) and no appeal mech",2025-12-13T17:00:12.054709
GDPR_ART22_V002,GDPR,violation,VIOLATION,VIOLATION,TRUE,sonnet,0.90,CRITICAL,"System violates Article 22 on multiple fronts: 95% automated decisions lack meaningful human involvement, customers are unaware of automated processing, and no mention of appeal mechanisms or right to",2025-12-13T17:00:17.730831
GDPR_ART22_V003,GDPR,violation,VIOLATION,VIOLATION,TRUE,sonnet,0.90,CRITICAL,"The system performs fully automated decision-making with significant effects (claim denials) without any human review or appeal mechanism, directly violating GDPR Article 22 requirements for automated",2025-12-13T17:00:23.134564
GDPR_ART22_V004,GDPR,violation,VIOLATION,VIOLATION,TRUE,sonnet,0.90,CRITICAL,"System performs automated decision-making that directly determines credit limits without providing explanations to users, violating the right to meaningful information about automated decisions with s",2025-12-13T17:00:28.202258
GDPR_ART22_GRAY001,GDPR,gray_area,COMPLIANT,COMPLIANT,TRUE,sonnet,0.80,NONE,"The system has human oversight safeguards - AI only makes recommendations while humans make all final decisions, and all recommendations are reviewed by recruiters before action. This satisfies GDPR A",2025-12-13T17:00:33.713684
GDPR_ART22_GRAY002,GDPR,gray_area,COMPLIANT,COMPLIANT,TRUE,sonnet,0.80,NONE,"The system has significant human oversight with loan officers overriding 60% of AI recommendations, which exceeds the 50% review threshold indicating meaningful human involvement in decision-making. T",2025-12-13T17:00:39.509838
GDPR_ART22_COMP001,GDPR,compliant,COMPLIANT,COMPLIANT,TRUE,sonnet,0.80,NONE,"System has human-in-the-loop safeguards with HR reviewing every AI score and making all final hiring decisions. Candidates can request human review, providing an appeal mechanism. This satisfies Artic",2025-12-13T17:00:45.304055
GDPR_ART17_V001,GDPR,violation,VIOLATION,VIOLATION,TRUE,sonnet,0.95,CRITICAL,System explicitly violates right to erasure by storing data indefinitely with no deletion mechanism and support explicitly stating they cannot delete user data,2025-12-13T17:00:50.558338
GDPR_ART17_V002,GDPR,violation,VIOLATION,VIOLATION,TRUE,sonnet,0.95,CRITICAL,"System violates Article 17 (Right to Erasure) by retaining deleted user data in backups for 10 years without justification, and fails to notify third parties of deletion requests as required. Complete",2025-12-13T17:00:56.129436
GDPR_ART17_V003,GDPR,violation,VIOLATION,VIOLATION,TRUE,sonnet,0.95,CRITICAL,"Multiple clear GDPR violations: 6-month deletion timeframe far exceeds Article 17's 30-day requirement, no confirmation provided to users violates transparency obligations, and continued data retentio",2025-12-13T17:01:01.821411
GDPR_ART17_COMP001,GDPR,compliant,COMPLIANT,COMPLIANT,TRUE,sonnet,0.90,NONE,"System appears compliant with GDPR Article 17 requirements: users can delete accounts, data is erased within the 30-day timeframe, third parties are notified of deletion, and users receive confirmatio",2025-12-13T17:01:07.703754
GDPR_ART32_V001,GDPR,violation,VIOLATION,VIOLATION,TRUE,sonnet,0.95,CRITICAL,"System stores customer PII in plaintext without encryption at rest and stores passwords unhashed, clearly violating GDPR's requirement for appropriate technical security measures to protect personal d",2025-12-13T17:01:13.002621
GDPR_ART32_V002,GDPR,violation,VIOLATION,VIOLATION,TRUE,sonnet,0.95,CRITICAL,"The system lacks fundamental security measures required by GDPR Article 32. All employees having admin access violates the principle of least privilege, no MFA creates authentication vulnerabilities, ",2025-12-13T17:01:19.173255
GDPR_ART32_V003,GDPR,violation,VIOLATION,VIOLATION,TRUE,sonnet,0.90,CRITICAL,"System lacks appropriate technical measures to ensure data availability and resilience. Single point of failure with no backups creates high risk of permanent data loss, violating data protection requ",2025-12-13T17:01:24.611267
GDPR_ART32_COMP001,GDPR,compliant,COMPLIANT,COMPLIANT,TRUE,sonnet,0.70,NONE,"The system demonstrates strong security measures including encryption at rest and in transit, MFA, access logging, penetration testing, and disaster recovery planning, which aligns with Article 32 req",2025-12-13T17:01:31.698249
GDPR_TRANSPARENCY_V001,GDPR,violation,VIOLATION,VIOLATION,TRUE,sonnet,0.95,CRITICAL,"System uses AI to analyze personal data (customer service chats) without informing users, violating transparency requirements. Users have no knowledge of automated processing, preventing them from exe",2025-12-13T17:01:37.503701
GDPR_CONSENT_V001,GDPR,violation,VIOLATION,VIOLATION,TRUE,sonnet,0.95,CRITICAL,"Multiple fundamental GDPR violations: data collected without consent, no privacy notice provided, and users not informed of processing purposes. These constitute clear breaches of basic data protectio",2025-12-13T17:01:43.213193
GDPR_CONSENT_GRAY001,GDPR,gray_area,COMPLIANT,VIOLATION,FALSE,sonnet,0.90,MAJOR,"Pre-checked consent boxes violate GDPR's requirement for freely given, specific, informed and unambiguous consent. Consent must be given by a clear affirmative action, not through pre-ticked boxes or ",2025-12-13T17:01:49.358055
SOX_S404_V001,SOX,violation,VIOLATION,VIOLATION,TRUE,sonnet,0.95,CRITICAL,"The system explicitly states 'No internal controls' and 'No documented controls' which directly violates SOX Section 404 requirements for documented internal controls. Additionally, the same person in",2025-12-13T17:01:55.020022
SOX_S404_V002,SOX,violation,VIOLATION,VIOLATION,TRUE,sonnet,0.95,CRITICAL,"Clear violation of SOX Section 404 requirements - internal controls exist but are not documented and have no testing procedures, making auditor verification impossible. Documentation and testing are m",2025-12-13T17:02:00.548100
SOX_S404_V003,SOX,violation,VIOLATION,VIOLATION,TRUE,sonnet,0.95,CRITICAL,"Clear violation of SOX Section 404 requirements. Controls are documented but never tested, with no review for 3 years and no material weakness assessment. Annual testing of internal controls is mandat",2025-12-13T17:02:06.212223
SOX_S404_COMP001,SOX,compliant,COMPLIANT,COMPLIANT,TRUE,sonnet,0.85,NONE,"System demonstrates strong ICFR compliance with documented controls, quarterly testing (exceeding annual requirement), proper segregation of duties, and annual auditor attestation. All key SOX require",2025-12-13T17:02:11.923526
SOX_S302_V001,SOX,violation,VIOLATION,VIOLATION,TRUE,sonnet,0.95,CRITICAL,"Financial reports are being published without CEO/CFO review or certification, which directly violates SOX Section 302 requirements. The complete absence of any certification workflow represents a cle",2025-12-13T17:02:17.062950
SOX_S302_V002,SOX,violation,VIOLATION,VIOLATION,TRUE,sonnet,0.95,CRITICAL,"System allows financial entry overrides without approval or audit trail, directly violating SOX internal control requirements and creating fraud concealment risk",2025-12-13T17:02:22.273930
SOX_S302_COMP001,SOX,compliant,COMPLIANT,COMPLIANT,TRUE,sonnet,0.80,NONE,"System describes proper CEO/CFO certification of quarterly reports with tracking and documentation, which aligns with SOX Section 302 requirements. No clear evidence of non-compliance detected.",2025-12-13T17:02:27.503556
SOX_AUDIT_V001,SOX,violation,VIOLATION,VIOLATION,TRUE,sonnet,0.95,CRITICAL,"Complete absence of audit trails for financial transactions directly violates SOX requirements. Without logging capabilities, the system cannot maintain required records, support internal controls doc",2025-12-13T17:02:33.392572
SOX_AUDIT_V002,SOX,violation,VIOLATION,VIOLATION,TRUE,sonnet,0.95,CRITICAL,Tamperable audit logs directly violate SOX requirements for immutable audit trails and reliable internal controls. Administrative ability to delete or modify logs undermines the integrity of financial,2025-12-13T17:02:39.684521
SOX_AUDIT_V003,SOX,violation,VIOLATION,VIOLATION,TRUE,sonnet,0.95,CRITICAL,Clear violation of SOX audit trail requirements. System automatically deletes audit logs after 1 year when SOX explicitly requires 7-year retention. This directly undermines the ability to maintain pr,2025-12-13T17:02:45.629708
SOX_AUDIT_COMP001,SOX,compliant,COMPLIANT,COMPLIANT,TRUE,sonnet,0.80,NONE,"System meets key SOX requirements: immutable audit trail with WORM storage, 7-year retention period, timestamped transaction logs, and regular audits for testing controls",2025-12-13T17:02:51.152336
EUAI_HIGHRISK_V001,EU AI Act,violation,VIOLATION,VIOLATION,TRUE,sonnet,0.90,CRITICAL,"AI systems for employment, recruitment, and worker management are explicitly classified as high-risk under Annex III of the EU AI Act. The system description incorrectly states it is 'not classified a",2025-12-13T17:02:57.454027
EUAI_HIGHRISK_V002,EU AI Act,violation,VIOLATION,VIOLATION,TRUE,sonnet,0.95,CRITICAL,"High-risk credit scoring AI system explicitly lacks required risk management system and technical documentation, which are mandatory obligations under EU AI Act for high-risk systems",2025-12-13T17:03:03.363828
EUAI_HIGHRISK_V003,EU AI Act,violation,VIOLATION,VIOLATION,TRUE,sonnet,0.95,CRITICAL,Critical infrastructure AI systems are high-risk under the EU AI Act and require human oversight as a mandatory safeguard. The explicit policy of no human oversight or ability to intervene/override di,2025-12-13T17:03:10.886945
EUAI_HIGHRISK_V004,EU AI Act,violation,VIOLATION,VIOLATION,TRUE,sonnet,0.90,CRITICAL,"Hiring AI is classified as high-risk under EU AI Act. The system explicitly uses biased training data with no data governance or quality controls, directly violating data quality requirements for high",2025-12-13T17:03:16.585584
EUAI_HIGHRISK_COMP001,EU AI Act,compliant,COMPLIANT,COMPLIANT,TRUE,sonnet,0.80,NONE,"The HR AI system appears compliant as it has completed conformity assessment, documented risk management, and enabled human oversight - all required for high-risk AI systems under the EU AI Act",2025-12-13T17:03:21.565652
EUAI_PROHIBITED_V001,EU AI Act,violation,VIOLATION,VIOLATION,TRUE,sonnet,0.95,CRITICAL,"This system implements social scoring by a government entity that affects citizens' access to services, which is explicitly prohibited under the EU AI Act as it poses unacceptable risks to fundamental",2025-12-13T17:03:27.000428
EUAI_PROHIBITED_V002,EU AI Act,violation,VIOLATION,VIOLATION,TRUE,sonnet,0.95,CRITICAL,"Real-time facial recognition in public spaces is explicitly prohibited under the EU AI Act. The system operates without authorization or user notification, violating both the prohibition on real-time ",2025-12-13T17:03:33.647475
EUAI_PROHIBITED_V003,EU AI Act,violation,VIOLATION,VIOLATION,TRUE,sonnet,0.95,CRITICAL,"This system explicitly uses subliminal techniques to manipulate human behavior without user awareness, which is directly prohibited under the EU AI Act as it impairs human autonomy and decision-making",2025-12-13T17:03:38.706749
EUAI_PROHIBITED_V004,EU AI Act,violation,VIOLATION,VIOLATION,TRUE,sonnet,0.95,CRITICAL,"The system deliberately targets vulnerable elderly users with confusing interfaces to manipulate their purchasing decisions, constituting prohibited manipulation under the EU AI Act",2025-12-13T17:03:44.039607
EUAI_PROHIBITED_GRAY001,EU AI Act,gray_area,COMPLIANT,COMPLIANT,TRUE,sonnet,0.80,NONE,"Facial recognition in research setting with participant consent likely falls under research exceptions. Not publicly deployed, which avoids prohibited real-time biometric identification in public spac",2025-12-13T17:03:49.644036
EUAI_TRANSPARENCY_V001,EU AI Act,violation,VIOLATION,VIOLATION,TRUE,sonnet,0.95,MAJOR,Clear violation of transparency requirements - users must be informed when interacting with AI systems. The deliberate concealment that users are talking to a chatbot rather than humans directly contr,2025-12-13T17:03:55.440308
EUAI_TRANSPARENCY_V002,EU AI Act,violation,VIOLATION,VIOLATION,TRUE,sonnet,0.90,MAJOR,"The system uses AI-generated deepfake content in marketing without disclosure to users, violating transparency obligations under the EU AI Act which requires users to be informed when interacting with",2025-12-13T17:04:01.169670
EUAI_TRANSPARENCY_V003,EU AI Act,violation,VIOLATION,VIOLATION,TRUE,sonnet,0.90,MAJOR,"AI-generated news articles presented as human-written without disclosure violates transparency obligations under the EU AI Act, which requires users to be informed when interacting with AI-generated c",2025-12-13T17:04:07.459156
EUAI_TRANSPARENCY_COMP001,EU AI Act,compliant,COMPLIANT,COMPLIANT,TRUE,sonnet,0.90,NONE,"The system demonstrates clear compliance with EU AI Act transparency requirements. The chatbot is properly labeled as 'AI Assistant', AI-generated content is marked, and synthetic media includes water",2025-12-13T17:04:13.017395
GDPR_ART22_V005,GDPR,violation,VIOLATION,VIOLATION,TRUE,sonnet,0.95,CRITICAL,"The system performs automated decision-making that significantly affects individuals (welfare benefits denial) without any human review mechanism, directly violating GDPR Article 22 which requires eit",2025-12-13T17:04:18.906407
GDPR_ART22_V006,GDPR,violation,VIOLATION,VIOLATION,TRUE,sonnet,0.90,CRITICAL,System performs automated decision-making that directly determines school admissions without parental knowledge. This violates transparency requirements and likely Article 22 on automated decision-mak,2025-12-13T17:04:25.002351
SOX_S404_V004,SOX,violation,VIOLATION,VIOLATION,TRUE,sonnet,0.95,CRITICAL,CFO having direct database access to modify financial records without independent review violates fundamental SOX internal control requirements and creates serious segregation of duties violations,2025-12-13T17:04:30.136351
SOX_S404_GRAY001,SOX,gray_area,COMPLIANT,COMPLIANT,TRUE,sonnet,0.75,NONE,SOX allows compensating controls when segregation of duties is not feasible in small companies. Daily manager review provides adequate oversight and control mechanism. No clear evidence of non-complia,2025-12-13T17:04:35.288652
EUAI_HIGHRISK_V005,EU AI Act,violation,VIOLATION,VIOLATION,TRUE,sonnet,0.95,CRITICAL,"This system performs biometric categorization to infer ethnicity and gender of job applicants, which is explicitly prohibited under Article 5(1)(d) of the EU AI Act. The prohibition applies regardless",2025-12-13T17:04:41.074008
EUAI_HIGHRISK_V006,EU AI Act,violation,VIOLATION,VIOLATION,TRUE,sonnet,0.90,CRITICAL,Law enforcement AI systems for predictive policing are classified as high-risk under the EU AI Act and require mandatory conformity assessment before deployment. The system explicitly states 'no confo,2025-12-13T17:04:46.844128
GDPR_ART32_V004,GDPR,violation,VIOLATION,VIOLATION,TRUE,sonnet,0.95,CRITICAL,"Exposing 2M customer records in a publicly accessible S3 bucket constitutes a severe breach of data security requirements under GDPR Article 32, which mandates appropriate technical and organizational",2025-12-13T17:04:52.140812
GDPR_ART17_V004,GDPR,violation,VIOLATION,VIOLATION,TRUE,sonnet,0.85,CRITICAL,"Company denied right to erasure request without providing specific legal basis as required. GDPR Article 17 allows refusal only for specific enumerated reasons, and these must be clearly communicated ",2025-12-13T17:04:59.353822
SOX_AUDIT_V004,SOX,violation,VIOLATION,VIOLATION,TRUE,sonnet,0.90,CRITICAL,"Selective logging that excludes failed transactions and errors creates incomplete audit trails, violating SOX requirements for comprehensive documentation of all financial activities. This prevents pr",2025-12-13T17:05:05.230192
