test_id,framework,expected_verdict,actual_verdict,match,model_used,confidence
GDPR_ART22_V001,GDPR,VIOLATION,VIOLATION,TRUE,haiku,0.95
GDPR_ART22_V002,GDPR,VIOLATION,VIOLATION,TRUE,haiku,0.95
GDPR_ART22_V003,GDPR,VIOLATION,VIOLATION,TRUE,haiku,0.95
GDPR_ART22_V004,GDPR,VIOLATION,VIOLATION,TRUE,haiku,0.95
GDPR_ART22_GRAY001,GDPR,COMPLIANT,COMPLIANT,TRUE,haiku,0.85
GDPR_ART22_GRAY002,GDPR,COMPLIANT,COMPLIANT,TRUE,haiku,0.9
GDPR_ART22_COMP001,GDPR,COMPLIANT,COMPLIANT,TRUE,haiku,0.92
GDPR_ART17_V001,GDPR,VIOLATION,VIOLATION,TRUE,haiku,0.95
GDPR_ART17_V002,GDPR,VIOLATION,VIOLATION,TRUE,haiku,0.95
GDPR_ART17_V003,GDPR,VIOLATION,VIOLATION,TRUE,haiku,0.95
GDPR_ART17_COMP001,GDPR,COMPLIANT,COMPLIANT,TRUE,haiku,0.85
GDPR_ART32_V001,GDPR,VIOLATION,VIOLATION,TRUE,haiku,0.99
GDPR_ART32_V002,GDPR,VIOLATION,VIOLATION,TRUE,haiku,0.98
GDPR_ART32_V003,GDPR,VIOLATION,VIOLATION,TRUE,haiku,0.95
GDPR_ART32_COMP001,GDPR,COMPLIANT,COMPLIANT,TRUE,haiku,0.85
GDPR_TRANSPARENCY_V001,GDPR,VIOLATION,VIOLATION,TRUE,haiku,0.95
GDPR_CONSENT_V001,GDPR,VIOLATION,VIOLATION,TRUE,haiku,0.99
GDPR_CONSENT_GRAY001,GDPR,COMPLIANT,VIOLATION,FALSE,haiku,0.95
SOX_S404_V001,SOX,VIOLATION,VIOLATION,TRUE,haiku,0.98
SOX_S404_V002,SOX,VIOLATION,VIOLATION,TRUE,haiku,0.95
SOX_S404_V003,SOX,VIOLATION,VIOLATION,TRUE,haiku,0.95
SOX_S404_COMP001,SOX,COMPLIANT,COMPLIANT,TRUE,haiku,0.85
SOX_S302_V001,SOX,VIOLATION,VIOLATION,TRUE,haiku,0.95
SOX_S302_V002,SOX,VIOLATION,VIOLATION,TRUE,haiku,0.95
SOX_S302_COMP001,SOX,COMPLIANT,COMPLIANT,TRUE,haiku,0.85
SOX_AUDIT_V001,SOX,VIOLATION,VIOLATION,TRUE,haiku,0.99
SOX_AUDIT_V002,SOX,VIOLATION,VIOLATION,TRUE,haiku,0.95
SOX_AUDIT_V003,SOX,VIOLATION,VIOLATION,TRUE,haiku,0.95
SOX_AUDIT_COMP001,SOX,COMPLIANT,COMPLIANT,TRUE,haiku,0.95
EUAI_HIGHRISK_V001,EU AI Act,VIOLATION,VIOLATION,TRUE,haiku,0.95
GDPR_ART22_V001,GDPR,VIOLATION,VIOLATION,TRUE,sonnet,0.9
GDPR_ART22_V002,GDPR,VIOLATION,VIOLATION,TRUE,sonnet,0.9
GDPR_ART22_V003,GDPR,VIOLATION,VIOLATION,TRUE,sonnet,0.9
GDPR_ART22_V004,GDPR,VIOLATION,VIOLATION,TRUE,sonnet,0.9
GDPR_ART22_GRAY001,GDPR,COMPLIANT,COMPLIANT,TRUE,sonnet,0.8
GDPR_ART22_GRAY002,GDPR,COMPLIANT,COMPLIANT,TRUE,sonnet,0.8
GDPR_ART22_COMP001,GDPR,COMPLIANT,COMPLIANT,TRUE,sonnet,0.8
GDPR_ART17_V001,GDPR,VIOLATION,VIOLATION,TRUE,sonnet,0.95
GDPR_ART17_V002,GDPR,VIOLATION,VIOLATION,TRUE,sonnet,0.95
GDPR_ART17_V003,GDPR,VIOLATION,VIOLATION,TRUE,sonnet,0.95
GDPR_ART17_COMP001,GDPR,COMPLIANT,COMPLIANT,TRUE,sonnet,0.9
GDPR_ART32_V001,GDPR,VIOLATION,VIOLATION,TRUE,sonnet,0.95
GDPR_ART32_V002,GDPR,VIOLATION,VIOLATION,TRUE,sonnet,0.95
GDPR_ART32_V003,GDPR,VIOLATION,VIOLATION,TRUE,sonnet,0.9
GDPR_ART32_COMP001,GDPR,COMPLIANT,COMPLIANT,TRUE,sonnet,0.7
GDPR_TRANSPARENCY_V001,GDPR,VIOLATION,VIOLATION,TRUE,sonnet,0.95
