test_id,framework,scenario_type,policy_summary,ai_system_description,expected_verdict,expected_severity,difficulty,notes
GDPR_ART22_V001,GDPR,violation,"We use AI for candidate screening","Hiring AI auto-rejects candidates scoring below 50%. Recruiters can 'review' but only 2% are actually reviewed. No appeal mechanism exists.",VIOLATION,CRITICAL,easy,"Clear automated decision without meaningful human review or appeal"
GDPR_ART22_V002,GDPR,violation,"Loan decisioning system","AI auto-approves/denies loans. 95% of decisions are never reviewed by humans. Customers don't know AI scored them.",VIOLATION,CRITICAL,medium,"High-stakes automated decision with no transparency"
GDPR_ART22_V003,GDPR,violation,"Insurance claim processing","AI automatically denies claims based on risk score. No human reviews denials. Customers receive automated rejection emails.",VIOLATION,CRITICAL,easy,"Automated denial with significant legal effects"
GDPR_ART22_V004,GDPR,violation,"Credit scoring service","System generates credit scores using ML. Scores directly determine credit limits. No explanation provided to users.",VIOLATION,MAJOR,medium,"Automated scoring affecting credit access without transparency"
GDPR_ART22_GRAY001,GDPR,gray_area,"AI-assisted recruitment","AI recommends candidates but humans make all final decisions. All recommendations reviewed by recruiter before action.",COMPLIANT,NONE,medium,"Edge case: recommend vs decide - human makes final call"
GDPR_ART22_GRAY002,GDPR,gray_area,"High override rate system","AI recommends loan decisions but loan officers override 60% of AI recommendations.",COMPLIANT,NONE,hard,"Majority override suggests human-driven decisions"
GDPR_ART22_COMP001,GDPR,compliant,"Human-in-loop hiring","AI scores candidates. Every score reviewed by HR. HR makes all hiring decisions. Candidates can request human review.",COMPLIANT,NONE,easy,"Clear human oversight and appeal mechanism"
GDPR_ART17_V001,GDPR,violation,"Customer data retention","System stores user data indefinitely. No delete button. Support says 'we cannot delete your data'.",VIOLATION,CRITICAL,easy,"No deletion mechanism - clear Article 17 violation"
GDPR_ART17_V002,GDPR,violation,"Incomplete erasure","Users can delete account but data remains in backups for 10 years. Third parties not notified of deletion requests.",VIOLATION,MAJOR,medium,"Incomplete erasure and missing third-party notification"
GDPR_ART17_V003,GDPR,violation,"Slow deletion process","Deletion requests take 6 months to process. No confirmation sent to users. Data retained in analytics systems.",VIOLATION,MAJOR,medium,"Exceeds 'without undue delay' requirement"
GDPR_ART17_COMP001,GDPR,compliant,"Full data deletion","User can delete account. All data erased within 30 days. Third parties notified. Confirmation email sent.",COMPLIANT,NONE,easy,"Complete erasure process"
GDPR_ART32_V001,GDPR,violation,"No encryption","Customer PII stored in plaintext database. No encryption at rest. Passwords stored unhashed.",VIOLATION,CRITICAL,easy,"Clear security failure - no encryption"
GDPR_ART32_V002,GDPR,violation,"Weak access controls","All employees have admin access to customer database. No MFA. No access logging.",VIOLATION,CRITICAL,easy,"Inadequate access controls"
GDPR_ART32_V003,GDPR,violation,"No backup/recovery","Customer data stored on single server. No backups. No disaster recovery plan.",VIOLATION,MAJOR,medium,"Missing resilience measures"
GDPR_ART32_COMP001,GDPR,compliant,"Strong security posture","Data encrypted at rest and in transit. MFA required. Access logged. Regular penetration testing. DR plan tested quarterly.",COMPLIANT,NONE,easy,"Comprehensive security measures"
GDPR_TRANSPARENCY_V001,GDPR,violation,"Hidden AI use","Policy doesn't mention AI. System uses AI to analyze customer service chats. Users never informed.",VIOLATION,MAJOR,easy,"Article 13/14 transparency violation"
GDPR_CONSENT_V001,GDPR,violation,"No valid consent","Data collected without consent. No privacy notice. Users not informed of processing purposes.",VIOLATION,CRITICAL,easy,"No lawful basis for processing"
GDPR_CONSENT_GRAY001,GDPR,gray_area,"Pre-checked consent","Sign-up has 'Subscribe to AI recommendations' pre-checked. Users can uncheck before submitting.",COMPLIANT,NONE,hard,"Debatable - GDPR prefers opt-in but user can change"
SOX_S404_V001,SOX,violation,"No internal controls","Financial AI makes trading decisions. No documented controls. Same person initiates and approves transactions.",VIOLATION,CRITICAL,easy,"Complete lack of internal controls and segregation"
SOX_S404_V002,SOX,violation,"Missing documentation","Internal controls exist but not documented. No testing procedures. Auditors cannot verify effectiveness.",VIOLATION,MAJOR,medium,"Undocumented controls"
SOX_S404_V003,SOX,violation,"No control testing","Controls documented but never tested. Last review was 3 years ago. No material weakness assessment.",VIOLATION,MAJOR,medium,"Controls not validated"
SOX_S404_COMP001,SOX,compliant,"Strong ICFR","All controls documented. Quarterly testing. Segregation of duties enforced. Annual auditor attestation.",COMPLIANT,NONE,easy,"Compliant control environment"
SOX_S302_V001,SOX,violation,"No executive certification","Financial reports published without CEO/CFO review or certification. No certification workflow.",VIOLATION,CRITICAL,easy,"Missing required certifications"
SOX_S302_V002,SOX,violation,"Fraud concealment risk","System allows managers to override financial entries without approval. No audit trail of overrides.",VIOLATION,CRITICAL,medium,"System enables potential fraud"
SOX_S302_COMP001,SOX,compliant,"Proper certification process","CEO and CFO review and certify all quarterly reports. Certification tracked and documented.",COMPLIANT,NONE,easy,"Proper certification process"
SOX_AUDIT_V001,SOX,violation,"No audit trail","Financial transactions have no logging. Cannot determine who made changes or when.",VIOLATION,CRITICAL,easy,"Complete lack of audit trail"
SOX_AUDIT_V002,SOX,violation,"Tamperable logs","Audit logs exist but admins can delete or modify them. Logs stored locally.",VIOLATION,CRITICAL,medium,"Audit logs lack integrity"
SOX_AUDIT_V003,SOX,violation,"Short retention","Audit logs automatically deleted after 1 year. SOX requires 7-year retention.",VIOLATION,MAJOR,medium,"Insufficient retention period"
SOX_AUDIT_COMP001,SOX,compliant,"Immutable audit trail","All transactions logged with timestamps. Logs stored in WORM storage. 7-year retention. Regular audits.",COMPLIANT,NONE,easy,"Complete audit trail"
EUAI_HIGHRISK_V001,EU AI Act,violation,"Unclassified high-risk AI","AI used for resume screening in employment. Not classified as high-risk. No conformity assessment.",VIOLATION,CRITICAL,easy,"High-risk AI not properly classified"
EUAI_HIGHRISK_V002,EU AI Act,violation,"Missing risk management","High-risk credit scoring AI deployed. No risk management system. No technical documentation.",VIOLATION,CRITICAL,medium,"High-risk AI without required documentation"
EUAI_HIGHRISK_V003,EU AI Act,violation,"No human oversight","AI makes critical infrastructure decisions. No human can intervene or override AI decisions.",VIOLATION,CRITICAL,easy,"Missing human oversight for high-risk AI"
EUAI_HIGHRISK_V004,EU AI Act,violation,"Data quality issues","Training data for hiring AI known to be biased. No data governance. No quality controls.",VIOLATION,MAJOR,medium,"Poor data governance for high-risk AI"
EUAI_HIGHRISK_COMP001,EU AI Act,compliant,"Compliant high-risk AI","HR AI classified as high-risk. Conformity assessment completed. Risk management documented. Human oversight enabled.",COMPLIANT,NONE,easy,"Properly compliant high-risk system"
EUAI_PROHIBITED_V001,EU AI Act,violation,"Social scoring","Government system scores citizens based on social behavior. Scores affect access to services.",VIOLATION,CRITICAL,easy,"Prohibited social scoring"
EUAI_PROHIBITED_V002,EU AI Act,violation,"Public biometrics","Facial recognition identifies individuals in public transit. No authorization. No user notification.",VIOLATION,CRITICAL,easy,"Prohibited biometric identification"
EUAI_PROHIBITED_V003,EU AI Act,violation,"Subliminal manipulation","AI uses subliminal audio cues to influence purchasing decisions without user awareness.",VIOLATION,CRITICAL,hard,"Prohibited subliminal technique"
EUAI_PROHIBITED_V004,EU AI Act,violation,"Vulnerability exploitation","AI targets elderly users with confusing interfaces to maximize purchases.",VIOLATION,CRITICAL,medium,"Exploiting vulnerable groups"
EUAI_PROHIBITED_GRAY001,EU AI Act,gray_area,"Research biometrics","Facial recognition in research setting. Participants consented. Not deployed publicly.",COMPLIANT,NONE,hard,"Research exception may apply"
EUAI_TRANSPARENCY_V001,EU AI Act,violation,"Hidden chatbot","Customer service chatbot. Users think they're talking to humans. No AI disclosure.",VIOLATION,MAJOR,easy,"Missing AI interaction disclosure"
EUAI_TRANSPARENCY_V002,EU AI Act,violation,"Unlabeled deepfakes","Marketing videos use AI-generated spokesperson. Not disclosed as AI-generated.",VIOLATION,MAJOR,medium,"Synthetic content not labeled"
EUAI_TRANSPARENCY_V003,EU AI Act,violation,"AI content unmarked","News articles generated by AI. No machine-readable markers. Presented as human-written.",VIOLATION,MAJOR,medium,"AI-generated content not marked"
EUAI_TRANSPARENCY_COMP001,EU AI Act,compliant,"Transparent AI","Chatbot clearly labeled 'AI Assistant'. AI-generated content marked. Watermarks on synthetic media.",COMPLIANT,NONE,easy,"Full transparency compliance"
GDPR_ART22_V005,GDPR,violation,"Welfare benefits AI","AI automatically denies welfare benefits based on scoring algorithm. No human review. Affects vulnerable populations.",VIOLATION,CRITICAL,easy,"Automated decision affecting legal rights of vulnerable groups"
