test_id,framework,scenario_type,expected_verdict,actual_verdict,match,model_used,confidence,severity,reasoning_excerpt,timestamp
GDPR_ART22_V001,GDPR,violation,VIOLATION,VIOLATION,TRUE,opus,0.85,CRITICAL,The system makes automated decisions (auto-rejection) that significantly affect individuals' legal rights (employment eligibility). Article 22 requires EITHER meaningful human review OR an appeal mech,2025-12-13T17:42:54.845096
GDPR_ART22_V002,GDPR,violation,VIOLATION,VIOLATION,TRUE,opus,0.92,CRITICAL,"Clear Article 22 violation: System makes automated loan decisions with only 5% human review (far below 50% threshold). Additionally, customers are not informed that AI scored them, violating transpare",2025-12-13T17:43:02.518074
GDPR_ART22_V003,GDPR,violation,VIOLATION,VIOLATION,TRUE,opus,0.92,CRITICAL,The system explicitly states 'No human reviews denials' and customers only receive automated rejection emails. This is a clear violation of Article 22 GDPR which prohibits solely automated decision-ma,2025-12-13T17:43:09.831493
GDPR_ART22_V004,GDPR,violation,VIOLATION,VIOLATION,TRUE,opus,0.85,CRITICAL,The system makes fully automated decisions (credit scores directly determine credit limits) with no explanation provided to users. Article 22 requires meaningful information about the logic involved i,2025-12-13T17:43:18.388649
GDPR_ART22_GRAY001,GDPR,gray_area,COMPLIANT,COMPLIANT,TRUE,opus,0.75,NONE,"The system explicitly states that AI only provides recommendations while humans make all final decisions, and all recommendations are reviewed by a recruiter before action. This satisfies Article 22's",2025-12-13T17:43:25.865298
GDPR_ART22_GRAY002,GDPR,gray_area,COMPLIANT,COMPLIANT,TRUE,opus,0.85,NONE,The system demonstrates strong human oversight with loan officers overriding 60% of AI recommendations. This exceeds the 50% threshold for meaningful human review under Article 22. The AI serves as a ,2025-12-13T17:43:34.261473
GDPR_ART22_COMP001,GDPR,compliant,COMPLIANT,COMPLIANT,TRUE,opus,0.85,NONE,"The system demonstrates strong GDPR Article 22 compliance: AI only scores candidates while HR reviews every score (100% human review rate, exceeding the 50% threshold) and makes all final hiring decis",2025-12-13T17:43:42.453342
GDPR_ART17_V001,GDPR,violation,VIOLATION,VIOLATION,TRUE,opus,0.95,CRITICAL,"The system explicitly states data is stored indefinitely with no deletion mechanism, and support confirms they 'cannot delete your data'. This is a clear and direct violation of the right to erasure. ",2025-12-13T17:43:49.707100
GDPR_ART17_V002,GDPR,violation,VIOLATION,VIOLATION,TRUE,opus,0.85,MAJOR,Article 17 requires erasure 'without undue delay' and notification to third parties who received the data. Retaining data in backups for 10 years significantly exceeds reasonable retention periods and,2025-12-13T17:43:56.891188
GDPR_ART17_V003,GDPR,violation,VIOLATION,VIOLATION,TRUE,opus,0.95,CRITICAL,"The system explicitly states deletion requests take 6 months to process, which directly violates Article 17's requirement for erasure 'without undue delay' (interpreted as within 30 days). Additionall",2025-12-13T17:44:04.194819
GDPR_ART17_COMP001,GDPR,compliant,COMPLIANT,COMPLIANT,TRUE,opus,0.85,NONE,"The system appears compliant with GDPR Article 17 (Right to Erasure). Users can delete their accounts, data is erased within the 30-day requirement, third parties are notified of deletion requests (as",2025-12-13T17:44:12.148852
GDPR_ART32_V001,GDPR,violation,VIOLATION,VIOLATION,TRUE,opus,0.95,CRITICAL,The system explicitly states no encryption at rest for customer PII and passwords stored unhashed. This is a clear violation of Article 32's requirement for 'appropriate technical measures' to ensure ,2025-12-13T17:44:19.434938
