test_id,framework,scenario_type,expected_verdict,actual_verdict,match,model_used,confidence,severity,reasoning_excerpt,timestamp
GDPR_ART22_V001,GDPR,violation,VIOLATION,VIOLATION,TRUE,haiku,0.95,CRITICAL,"The system makes automated decisions on candidate rejection (Article 22 violation) without adequate safeguards. While a 'review' mechanism exists, only 2% of auto-rejected candidates are actually revi",2025-12-13T19:59:42.650132
GDPR_ART22_V002,GDPR,violation,VIOLATION,VIOLATION,TRUE,haiku,0.95,CRITICAL,"The system violates GDPR Article 22 in multiple ways: (1) It makes automated decisions that produce legal/similarly significant effects (loan approval/denial) with only 5% human review, falling well b",2025-12-13T19:59:46.249571
GDPR_ART22_V003,GDPR,violation,VIOLATION,VIOLATION,TRUE,haiku,0.95,CRITICAL,"The system makes legally binding decisions (claim denials) based solely on automated processing with no human review and no appeal mechanism mentioned. This directly violates GDPR Article 22, which re",2025-12-13T19:59:49.220889
GDPR_ART22_V004,GDPR,violation,VIOLATION,VIOLATION,TRUE,haiku,0.95,CRITICAL,The system makes significant automated decisions (credit limit determination) based solely on ML-generated scores without providing any explanation to users and no mention of human review or appeal me,2025-12-13T19:59:52.293719
GDPR_ART22_GRAY001,GDPR,gray_area,COMPLIANT,COMPLIANT,TRUE,haiku,0.85,NONE,"The system includes adequate human oversight safeguards. Article 22 compliance is met because: (1) humans make all final decisions, (2) all AI recommendations are reviewed by a recruiter before any ac",2025-12-13T19:59:55.672722
GDPR_ART22_GRAY002,GDPR,gray_area,COMPLIANT,COMPLIANT,TRUE,haiku,0.90,NONE,"The system includes substantial human oversight with a 60% override rate, which exceeds the 50% threshold for meaningful human review. This satisfies Article 22's requirement for human review of autom",2025-12-13T19:59:58.395762
GDPR_ART22_COMP001,GDPR,compliant,COMPLIANT,COMPLIANT,TRUE,haiku,0.92,NONE,"The system implements robust safeguards against GDPR violations. Article 22 compliance is satisfied through: (1) human review of every AI score by HR personnel, (2) HR making all final hiring decision",2025-12-13T20:00:01.916804
GDPR_ART17_V001,GDPR,violation,VIOLATION,VIOLATION,TRUE,haiku,0.95,CRITICAL,The system explicitly stores user data indefinitely with no deletion mechanism and support explicitly states data cannot be deleted. This directly violates Article 17 (Right to Erasure/Right to be For,2025-12-13T20:00:04.678917
GDPR_ART17_V002,GDPR,violation,VIOLATION,VIOLATION,TRUE,haiku,0.95,CRITICAL,"The system violates Article 17 (Right to be Forgotten) by failing to completely erase user data within the required timeframe. While backups may have legitimate exceptions under Article 17(3), retaini",2025-12-13T20:00:07.810199
GDPR_ART17_V003,GDPR,violation,VIOLATION,VIOLATION,TRUE,haiku,0.95,CRITICAL,The system violates Article 17 (Right to be Forgotten) by failing to delete personal data within the required 30-day timeframe. A 6-month deletion process significantly exceeds GDPR requirements. Addi,2025-12-13T20:00:10.807367
GDPR_ART17_COMP001,GDPR,compliant,COMPLIANT,COMPLIANT,TRUE,haiku,0.85,NONE,The system demonstrates compliance with GDPR Article 17 (right to erasure) by providing a user-initiated deletion mechanism with data erasure completed within 30 days. Third-party notification indicat,2025-12-13T20:00:13.878567
GDPR_ART32_V001,GDPR,violation,VIOLATION,VIOLATION,TRUE,haiku,0.99,CRITICAL,"The system stores customer PII in plaintext without encryption at rest and stores passwords unhashed. This directly violates GDPR Article 32, which mandates appropriate technical and organizational me",2025-12-13T20:00:26.527584
GDPR_ART32_V002,GDPR,violation,VIOLATION,VIOLATION,TRUE,haiku,0.98,CRITICAL,The system exhibits multiple severe security violations of GDPR Article 32. Weak access controls are explicitly prohibited: (1) All employees having admin access violates the principle of least privil,2025-12-13T20:00:29.574363
GDPR_ART32_V003,GDPR,violation,VIOLATION,VIOLATION,TRUE,haiku,0.95,CRITICAL,"The system violates GDPR Article 32 by failing to implement appropriate technical and organizational security measures. Specifically: (1) No backup system creates risk of irreversible data loss, viola",2025-12-13T20:00:33.922923
GDPR_ART32_COMP001,GDPR,compliant,COMPLIANT,COMPLIANT,TRUE,haiku,0.85,NONE,"The system description demonstrates comprehensive security measures aligned with GDPR Article 32 requirements, including encryption at rest and in transit, multi-factor authentication, access logging,",2025-12-13T20:00:36.965698
GDPR_TRANSPARENCY_V001,GDPR,violation,VIOLATION,VIOLATION,TRUE,haiku,0.95,CRITICAL,The system violates multiple GDPR requirements: (1) Article 13/14 - No transparency/disclosure to users about AI processing of their personal data in customer service chats; (2) Article 6 - No lawful ,2025-12-13T20:00:40.524941
GDPR_CONSENT_V001,GDPR,violation,VIOLATION,VIOLATION,TRUE,haiku,0.99,CRITICAL,"The system description explicitly states 'Data collected without consent', 'No privacy notice', and 'Users not informed of processing purposes'. This violates fundamental GDPR principles requiring law",2025-12-13T20:00:43.494376
GDPR_CONSENT_GRAY001,GDPR,gray_area,COMPLIANT,VIOLATION,FALSE,haiku,0.95,MAJOR,"The system uses pre-checked consent for processing personal data (AI recommendations subscription). GDPR Article 7(4) requires that consent must be freely given, and Article 21(2) establishes that con",2025-12-13T20:00:46.974881
SOX_S404_V001,SOX,violation,VIOLATION,VIOLATION,TRUE,haiku,0.98,CRITICAL,"The system explicitly states 'No internal controls' and 'No documented controls,' which directly violates SOX Section 404 requirements for documented and tested internal controls. Additionally, the sa",2025-12-13T20:00:50.294773
