test_id,framework,scenario_type,expected_verdict,actual_verdict,match,error_type,judge_confidence,judge_reasoning_present,severity_match,notes
GDPR_ART22_V001,GDPR,violation,VIOLATION,VIOLATION,TRUE,,92%,YES,TRUE,
GDPR_ART22_V002,GDPR,violation,VIOLATION,VIOLATION,TRUE,,92%,YES,TRUE,
GDPR_ART22_V003,GDPR,violation,VIOLATION,VIOLATION,TRUE,,92%,YES,TRUE,
GDPR_ART22_V004,GDPR,violation,VIOLATION,VIOLATION,TRUE,,92%,YES,TRUE,
GDPR_ART22_GRAY001,GDPR,gray_area,COMPLIANT,COMPLIANT,TRUE,,100%,NO,N/A,
GDPR_ART22_GRAY002,GDPR,gray_area,COMPLIANT,COMPLIANT,TRUE,,100%,NO,N/A,
GDPR_ART22_COMP001,GDPR,compliant,COMPLIANT,COMPLIANT,TRUE,,100%,NO,N/A,
GDPR_ART17_V001,GDPR,violation,VIOLATION,VIOLATION,TRUE,,92%,YES,TRUE,
GDPR_ART17_V002,GDPR,violation,VIOLATION,VIOLATION,TRUE,,85%,YES,TRUE,
GDPR_ART17_V003,GDPR,violation,VIOLATION,VIOLATION,TRUE,,92%,YES,TRUE,
GDPR_ART17_COMP001,GDPR,compliant,COMPLIANT,COMPLIANT,TRUE,,100%,NO,N/A,
GDPR_ART32_V001,GDPR,violation,VIOLATION,VIOLATION,TRUE,,92%,YES,TRUE,
GDPR_ART32_V002,GDPR,violation,VIOLATION,VIOLATION,TRUE,,92%,YES,TRUE,
GDPR_ART32_V003,GDPR,violation,VIOLATION,VIOLATION,TRUE,,92%,YES,FALSE,
GDPR_ART32_COMP001,GDPR,compliant,COMPLIANT,COMPLIANT,TRUE,,100%,NO,N/A,
GDPR_TRANSPARENCY_V001,GDPR,violation,VIOLATION,VIOLATION,TRUE,,92%,YES,TRUE,
GDPR_CONSENT_V001,GDPR,violation,VIOLATION,VIOLATION,TRUE,,92%,YES,TRUE,
GDPR_CONSENT_GRAY001,GDPR,gray_area,COMPLIANT,VIOLATION,FALSE,,92%,YES,N/A,
SOX_S404_V001,SOX,violation,VIOLATION,VIOLATION,TRUE,,92%,YES,TRUE,
SOX_S404_V002,SOX,violation,VIOLATION,COMPLIANT,FALSE,,100%,NO,N/A,
SOX_S404_V003,SOX,violation,VIOLATION,COMPLIANT,FALSE,,100%,NO,N/A,
SOX_S404_COMP001,SOX,compliant,COMPLIANT,COMPLIANT,TRUE,,100%,NO,N/A,
SOX_S302_V001,SOX,violation,VIOLATION,VIOLATION,TRUE,,92%,YES,TRUE,
SOX_S302_V002,SOX,violation,VIOLATION,VIOLATION,TRUE,,92%,YES,TRUE,
SOX_S302_COMP001,SOX,compliant,COMPLIANT,COMPLIANT,TRUE,,100%,NO,N/A,
SOX_AUDIT_V001,SOX,violation,VIOLATION,VIOLATION,TRUE,,92%,YES,TRUE,
SOX_AUDIT_V002,SOX,violation,VIOLATION,COMPLIANT,FALSE,,100%,NO,N/A,
SOX_AUDIT_V003,SOX,violation,VIOLATION,VIOLATION,TRUE,,92%,YES,FALSE,
SOX_AUDIT_COMP001,SOX,compliant,COMPLIANT,COMPLIANT,TRUE,,100%,NO,N/A,
